,Min.Price,Price,Max.Price,MPG.city,MPG.highway,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight
53,10.9,11.6,12.3,28,36,4,1.8,103,5500,2220,14.5,5,172,98,66,36,26.5,13.0,2440
54,14.3,16.5,18.7,26,34,4,2.5,164,5600,2505,15.5,5,184,103,69,40,29.5,14.0,2970
55,16.6,19.1,21.7,18,24,6,3.0,155,5000,2240,19.6,7,190,110,72,39,27.5,14.0,3735
56,32.5,32.5,32.5,17,25,6,1.3,255,6500,2325,20.0,2,169,96,69,37,27.5,14.0,2895
57,29.0,31.9,34.9,20,29,4,2.3,130,5100,2425,14.5,5,175,105,67,34,26.0,12.0,2920
58,43.8,61.9,80.0,19,25,6,3.2,217,5500,2220,18.5,5,187,110,69,37,27.0,15.0,3525
59,13.3,14.1,15.0,23,26,4,1.6,100,5750,2475,11.1,4,166,95,65,36,19.0,6.0,2450
60,14.9,14.9,14.9,19,26,6,3.8,140,3800,1730,18.0,5,199,113,73,38,28.0,15.0,3610
61,7.7,10.3,12.9,29,33,4,1.5,92,6000,2505,13.2,5,172,98,67,36,26.0,11.0,2295
62,22.4,26.1,29.9,18,24,6,3.0,202,6000,2210,19.0,5,190,107,70,43,27.5,14.0,3730
63,8.7,11.8,14.9,29,33,4,1.6,110,6000,2435,13.2,5,170,96,66,33,26.0,12.0,2545
64,13.0,15.7,18.3,24,30,4,2.4,150,5600,2130,15.9,5,181,103,67,40,28.5,14.0,3050
65,16.7,19.1,21.5,17,23,6,3.0,151,4800,2065,20.0,7,190,112,74,41,27.0,14.0,4100
66,21.0,21.5,22.0,21,26,6,3.0,160,5200,2045,18.5,5,188,104,69,41,28.5,14.0,3200
67,13.0,13.5,14.0,24,31,4,2.3,155,6000,2380,15.2,5,188,103,67,39,28.0,14.0,2910
68,14.2,16.3,18.4,23,31,4,2.2,110,5200,2565,16.5,5,190,105,70,42,28.0,16.0,2890
69,19.5,19.5,19.5,18,23,6,3.8,170,4800,1690,20.0,7,194,110,74,44,30.5,14.0,3715
70,19.5,20.7,21.9,19,28,6,3.8,170,4800,1570,18.0,6,201,111,74,42,31.5,17.0,3470
71,11.4,14.4,17.4,23,30,4,1.8,92,5000,2360,15.9,4,173,97,67,39,24.5,8.0,2640
72,8.2,9.0,9.9,31,41,4,1.6,74,5600,3130,13.2,4,177,99,66,35,25.5,17.0,2350
73,9.4,11.1,12.8,23,31,4,2.0,110,5200,2665,15.2,5,181,101,66,39,25.0,13.0,2575
74,14.0,17.7,21.4,19,28,6,3.4,160,4600,1805,15.5,4,196,101,75,43,25.0,13.0,3240
75,15.4,18.5,21.6,19,27,6,3.4,200,5000,1890,16.5,5,195,108,72,41,28.5,16.0,3450
76,19.4,24.4,29.4,19,28,6,3.8,170,4800,1565,18.0,6,177,111,74,43,30.5,18.0,3495
77,20.3,28.7,37.1,20,26,4,2.1,140,6000,2910,18.0,5,184,99,67,37,26.5,14.0,2775
78,9.2,11.1,12.9,28,38,4,1.9,85,5000,2145,12.8,5,176,102,68,40,26.5,12.0,2495
79,7.3,8.4,9.5,33,37,3,1.2,73,5600,2875,9.2,4,146,90,60,32,23.5,10.0,2045
80,10.5,10.9,11.3,25,30,4,1.8,90,5200,3375,15.9,5,175,97,65,35,27.5,15.0,2490
81,16.3,19.5,22.7,23,30,4,2.2,130,5600,2330,15.9,5,179,102,67,37,27.0,14.0,3085
82,7.3,8.6,10.0,39,43,3,1.3,70,6000,3360,10.6,4,161,93,63,34,27.5,10.0,1965
83,7.8,9.8,11.8,32,37,4,1.5,82,5200,3505,11.9,5,162,94,65,36,24.0,11.0,2055
84,14.2,18.4,22.6,25,32,4,2.2,135,5400,2405,15.9,4,174,99,69,39,23.0,13.0,2950
85,15.2,18.2,21.2,22,29,4,2.2,130,5400,2340,18.5,5,188,103,70,38,28.5,15.0,3030
86,18.9,22.7,26.6,18,22,4,2.4,138,5000,2515,19.8,7,187,113,71,41,35.0,14.0,3785
87,8.7,9.1,9.5,25,33,4,1.8,81,5500,2550,12.4,4,163,93,63,34,26.0,10.0,2240
88,16.6,19.7,22.7,17,21,5,2.5,109,4500,2915,21.1,7,187,115,72,38,34.0,14.0,3960
89,17.6,20.0,22.4,21,30,4,2.0,134,5800,2685,18.5,5,180,103,67,35,31.5,14.0,2985
90,22.9,23.3,23.7,18,25,6,2.8,178,5800,2385,18.5,4,159,97,66,36,26.0,15.0,2810
91,21.8,22.7,23.5,21,28,4,2.3,114,5400,2215,15.8,5,190,104,67,37,29.5,14.0,2985
92,24.8,26.7,28.5,20,28,5,2.4,168,6200,2310,19.3,5,184,105,69,38,30.0,15.0,3245
